src	src-sense-id	prob-sense	dst	dst-sense-id	similarity
fall	2	0.13263011604098005	annexation	1	0.7969397
fall	2	0.13263011604098005	destruction	3	0.7925185
fall	2	0.13263011604098005	defeat	2	0.7869908
fall	2	0.13263011604098005	aftermath	1	0.7723137
fall	2	0.13263011604098005	monarchy	2	0.7635375
fall	2	0.13263011604098005	expulsion	1	0.7566152
fall	2	0.13263011604098005	breakup	1	0.774015
fall	2	0.13263011604098005	invasion	2	0.772458
fall	3	0.20733905752552254	summer	4	0.71413046
fall	3	0.20733905752552254	1999	2	0.68534786
fall	3	0.20733905752552254	2008	4	0.67823374
fall	3	0.20733905752552254	2003	5	0.66607183
fall	3	0.20733905752552254	usa	3	0.66600007
fall	3	0.20733905752552254	2004	3	0.66531795
fall	3	0.20733905752552254	2000	3	0.65975875
fall	3	0.20733905752552254	2002	4	0.65621126
fall	3	0.20733905752552254	1989	4	0.65385413
fall	3	0.20733905752552254	winter	5	0.65115863
fall	3	0.20733905752552254	2001	3	0.64953417
fall	3	0.20733905752552254	spring	5	0.7779163
fall	3	0.20733905752552254	beginning	4	0.6906897
fall	3	0.20733905752552254	1995	2	0.6610922
fall	3	0.20733905752552254	2006a2007	2	0.6597653
fall	3	0.20733905752552254	1993	3	0.6529379
fall	3	0.20733905752552254	1991	4	0.6451061
fall	3	0.20733905752552254	2006	1	0.686763
fall	3	0.20733905752552254	reunion	1	0.656026
fall	3	0.20733905752552254	2005	5	0.67878
fall	4	0.1742171179298859	rise	2	0.87219495
fall	4	0.1742171179298859	steeply	2	0.77485937
fall	4	0.1742171179298859	decline	1	0.77422196
fall	4	0.1742171179298859	increases	2	0.75153494
fall	4	0.1742171179298859	soaring	2	0.74268913
fall	4	0.1742171179298859	levels	4	0.73402053
fall	4	0.1742171179298859	downward	2	0.72819537
fall	4	0.1742171179298859	losses	5	0.72556245
fall	4	0.1742171179298859	drop	5	0.8293209
fall	4	0.1742171179298859	falling	5	0.7914877
fall	4	0.1742171179298859	steep	5	0.7886618
fall	4	0.1742171179298859	rises	1	0.7639694
fall	4	0.1742171179298859	growth	4	0.7624632
fall	4	0.1742171179298859	decrease	5	0.7617021
fall	4	0.1742171179298859	predicted	5	0.7522062
fall	4	0.1742171179298859	plummet	1	0.7513868
fall	4	0.1742171179298859	trend	2	0.7428323
fall	4	0.1742171179298859	prices	3	0.7417958
fall	4	0.1742171179298859	reflecting	5	0.7389622
fall	4	0.1742171179298859	increasing	4	0.7349178
fall	5	0.14455599737973093	falling	1	0.71905917
fall	5	0.14455599737973093	headings	2	0.67167103
fall	5	0.14455599737973093	grouped	1	0.66470945
fall	5	0.14455599737973093	categories	2	0.64355296
fall	5	0.14455599737973093	broadly	2	0.62460905
fall	5	0.14455599737973093	incorporated	5	0.56269974
fall	5	0.14455599737973093	divides	3	0.53927594
fall	5	0.14455599737973093	categories	4	0.6543879
fall	5	0.14455599737973093	divided	2	0.6265531
fall	5	0.14455599737973093	category	1	0.6126049
fall	5	0.14455599737973093	subsumed	1	0.6052618
fall	5	0.14455599737973093	subdivided	2	0.5955363
fall	5	0.14455599737973093	split	1	0.5929567
fall	5	0.14455599737973093	neatly	2	0.5712937
fall	5	0.14455599737973093	ambit	1	0.5643264
fall	5	0.14455599737973093	subsections	2	0.5615851
fall	5	0.14455599737973093	tiers	1	0.5456602
fall	5	0.14455599737973093	distinct	2	0.5454973
fall	5	0.14455599737973093	falls	5	0.5453379
fall	5	0.14455599737973093	considerations	1	0.5423429
gas	1	0.18714450773454214	chp	1	0.78586173
gas	1	0.18714450773454214	appliances	4	0.75677407
gas	1	0.18714450773454214	inefficient	2	0.74975985
gas	1	0.18714450773454214	boilers	1	0.74742365
gas	1	0.18714450773454214	lpg	1	0.73768646
gas	1	0.18714450773454214	generation	1	0.73558486
gas	1	0.18714450773454214	supplies	5	0.73385143
gas	1	0.18714450773454214	cogeneration	1	0.73135585
gas	1	0.18714450773454214	stations	3	0.73098516
gas	1	0.18714450773454214	bills	5	0.72548044
gas	1	0.18714450773454214	electricity	5	0.8479893
gas	1	0.18714450773454214	generators	1	0.7763735
gas	1	0.18714450773454214	metering	2	0.7741696
gas	1	0.18714450773454214	utilities	3	0.7559931
gas	1	0.18714450773454214	consumption	3	0.7538173
gas	1	0.18714450773454214	diesel	1	0.7523472
gas	1	0.18714450773454214	energy	1	0.7497912
gas	1	0.18714450773454214	water	1	0.7493862
gas	1	0.18714450773454214	boiler	4	0.7455234
gas	1	0.18714450773454214	emission	3	0.7386231
gas	2	0.08965370413919198	rayburn	1	0.88739765
gas	2	0.08965370413919198	heater	1	0.88625985
gas	2	0.08965370413919198	burner	1	0.87875956
gas	2	0.08965370413919198	aga	1	0.87388515
gas	2	0.08965370413919198	cooker	2	0.86772543
gas	2	0.08965370413919198	grill	1	0.85792464
gas	2	0.08965370413919198	refrigerator	1	0.84423375
gas	2	0.08965370413919198	cooker	1	0.84035665
gas	2	0.08965370413919198	glazing	1	0.83888024
gas	2	0.08965370413919198	electric	2	0.9056088
gas	2	0.08965370413919198	heating	1	0.9019831
gas	2	0.08965370413919198	boiler	1	0.8999768
gas	2	0.08965370413919198	radiators	1	0.8781357
gas	2	0.08965370413919198	ceramic	1	0.8678833
gas	2	0.08965370413919198	extractor	1	0.8646496
gas	2	0.08965370413919198	combi	1	0.8555118
gas	2	0.08965370413919198	larder	1	0.8491805
gas	2	0.08965370413919198	upvc	1	0.8398251
gas	2	0.08965370413919198	hob	1	0.8388544
gas	2	0.08965370413919198	convector	1	0.841191
gas	3	0.20148285620842243	pumps	1	0.78401166
gas	3	0.20148285620842243	canisters	1	0.73597187
gas	3	0.20148285620842243	hoses	2	0.72079116
gas	3	0.20148285620842243	igniting	1	0.71379393
gas	3	0.20148285620842243	kerosene	2	0.70928943
gas	3	0.20148285620842243	bombs	5	0.69656646
gas	3	0.20148285620842243	tanker	1	0.69273037
gas	3	0.20148285620842243	shell	2	0.68010354
gas	3	0.20148285620842243	engine	1	0.67099833
gas	3	0.20148285620842243	petrol	5	0.8165411
gas	3	0.20148285620842243	stokehold	1	0.7303901
gas	3	0.20148285620842243	canister	2	0.7238263
gas	3	0.20148285620842243	acetylene	2	0.7222275
gas	3	0.20148285620842243	gasoline	4	0.7175658
gas	3	0.20148285620842243	paraffin	3	0.7002887
gas	3	0.20148285620842243	hose	5	0.6917028
gas	3	0.20148285620842243	firemen	2	0.6862038
gas	3	0.20148285620842243	fuel	2	0.6835213
gas	3	0.20148285620842243	extinguishers	2	0.6769452
gas	3	0.20148285620842243	tear	3	0.735948
gas	4	0.20812176249425743	refining	1	0.81386775
gas	4	0.20812176249425743	exploration	3	0.81279445
gas	4	0.20812176249425743	petrochemicals	1	0.80638516
gas	4	0.20812176249425743	electricity	3	0.77696586
gas	4	0.20812176249425743	hydrocarbons	3	0.77124715
gas	4	0.20812176249425743	pipelines	1	0.75973654
gas	4	0.20812176249425743	petro	2	0.75087327
gas	4	0.20812176249425743	exxonmobil	1	0.74417096
gas	4	0.20812176249425743	plants	2	0.74095327
gas	4	0.20812176249425743	oil	5	0.9098295
gas	4	0.20812176249425743	refineries	1	0.8262912
gas	4	0.20812176249425743	petrochemical	1	0.8259573
gas	4	0.20812176249425743	lng	1	0.8190089
gas	4	0.20812176249425743	offshore	4	0.8037397
gas	4	0.20812176249425743	shale	2	0.7731664
gas	4	0.20812176249425743	bp	2	0.7659767
gas	4	0.20812176249425743	onshore	1	0.7535491
gas	4	0.20812176249425743	chemicals	2	0.7450705
gas	4	0.20812176249425743	refinery	2	0.7448363
gas	4	0.20812176249425743	petroleum	5	0.74498
gas	5	0.31359716942358606	gaseous	1	0.91511863
gas	5	0.31359716942358606	hydrogen	3	0.90371215
gas	5	0.31359716942358606	gasses	1	0.89443207
gas	5	0.31359716942358606	cooled	2	0.88975257
gas	5	0.31359716942358606	helium	1	0.88074887
gas	5	0.31359716942358606	condensate	1	0.87758124
gas	5	0.31359716942358606	heated	2	0.87536484
gas	5	0.31359716942358606	ignition	4	0.87508833
gas	5	0.31359716942358606	oxygen	2	0.87412614
gas	5	0.31359716942358606	liquid	2	0.9392578
gas	5	0.31359716942358606	vapor	1	0.9081952
gas	5	0.31359716942358606	nitrogen	4	0.9050772
gas	5	0.31359716942358606	heating	2	0.9028152
gas	5	0.31359716942358606	vapour	2	0.8974037
gas	5	0.31359716942358606	acetylene	1	0.8734701
gas	5	0.31359716942358606	refrigerant	1	0.8707961
gas	5	0.31359716942358606	combustion	2	0.8674566
gas	5	0.31359716942358606	coolant	1	0.8659449
gas	5	0.31359716942358606	exhaust	2	0.8638714
gas	5	0.31359716942358606	inert	1	0.885736
jaguar	1	0.12214012275023549	toyota	5	0.71604896
jaguar	1	0.12214012275023549	rc51	1	0.69164747
jaguar	1	0.12214012275023549	v50	1	0.68339884
jaguar	1	0.12214012275023549	bmw	1	0.68016315
jaguar	1	0.12214012275023549	vauxhall	1	0.67520124
jaguar	1	0.12214012275023549	yamaha	5	0.66905427
jaguar	1	0.12214012275023549	hotwheels	1	0.66185725
jaguar	1	0.12214012275023549	bike	5	0.7000918
jaguar	1	0.12214012275023549	peugeot	1	0.6988952
jaguar	1	0.12214012275023549	gm1	2	0.6937332
jaguar	1	0.12214012275023549	f1	1	0.6852791
jaguar	1	0.12214012275023549	vantage	2	0.6736211
jaguar	1	0.12214012275023549	525d	1	0.6712121
jaguar	1	0.12214012275023549	turbo	4	0.6662021
jaguar	1	0.12214012275023549	tempest	3	0.6656793
jaguar	1	0.12214012275023549	lascala	1	0.6599994
jaguar	1	0.12214012275023549	perrys	1	0.6580458
jaguar	1	0.12214012275023549	racing	2	0.713303
jaguar	1	0.12214012275023549	alfa	3	0.672929
jaguar	1	0.12214012275023549	centurion	3	0.664382
jaguar	2	0.28482232426048004	bmw	4	0.90391636
jaguar	2	0.28482232426048004	ford	3	0.90261066
jaguar	2	0.28482232426048004	saloon	1	0.89673775
jaguar	2	0.28482232426048004	cosworth	1	0.89372265
jaguar	2	0.28482232426048004	volkswagen	1	0.88943523
jaguar	2	0.28482232426048004	vw	1	0.88726836
jaguar	2	0.28482232426048004	xjr	1	0.87863517
jaguar	2	0.28482232426048004	coupe	1	0.87416506
jaguar	2	0.28482232426048004	lwb	1	0.87363285
jaguar	2	0.28482232426048004	v12	1	0.8997085
jaguar	2	0.28482232426048004	nissan	2	0.8936507
jaguar	2	0.28482232426048004	chrysler	1	0.8851136
jaguar	2	0.28482232426048004	rover	3	0.8849991
jaguar	2	0.28482232426048004	convertible	1	0.8804408
jaguar	2	0.28482232426048004	fiat	3	0.8784705
jaguar	2	0.28482232426048004	mazda	1	0.8774631
jaguar	2	0.28482232426048004	porsche	1	0.8766945
jaguar	2	0.28482232426048004	audi	2	0.8761255
jaguar	2	0.28482232426048004	chevrolet	1	0.8757095
jaguar	2	0.28482232426048004	austin	3	0.8675559
jaguar	3	0.1476666149231519	harpy	1	0.83594894
jaguar	3	0.1476666149231519	puma	3	0.80217594
jaguar	3	0.1476666149231519	vulture	2	0.78708845
jaguar	3	0.1476666149231519	mandrill	1	0.75158185
jaguar	3	0.1476666149231519	margay	1	0.74554014
jaguar	3	0.1476666149231519	tarantula	1	0.74492264
jaguar	3	0.1476666149231519	saurian	1	0.74170697
jaguar	3	0.1476666149231519	insectoid	1	0.74076855
jaguar	3	0.1476666149231519	cougar	2	0.8257738
jaguar	3	0.1476666149231519	warthog	1	0.8075819
jaguar	3	0.1476666149231519	coyote	2	0.7940789
jaguar	3	0.1476666149231519	ocelot	1	0.7727544
jaguar	3	0.1476666149231519	hawk	5	0.7673136
jaguar	3	0.1476666149231519	unicorn	4	0.7613677
jaguar	3	0.1476666149231519	wildebeest	1	0.7549035
jaguar	3	0.1476666149231519	anaconda	1	0.7535157
jaguar	3	0.1476666149231519	fanged	1	0.7484392
jaguar	3	0.1476666149231519	stymphalian	1	0.7466719
jaguar	3	0.1476666149231519	anthropomorphized	1	0.7456885
jaguar	3	0.1476666149231519	wolf	5	0.7423622
jaguar	4	0.44536452417920347	mg	3	0.85131633
jaguar	4	0.44536452417920347	audi	4	0.82776904
jaguar	4	0.44536452417920347	f1	3	0.82386684
jaguar	4	0.44536452417920347	vauxhall	3	0.82191515
jaguar	4	0.44536452417920347	toyota	2	0.80777234
jaguar	4	0.44536452417920347	cosworth	2	0.8384002
jaguar	4	0.44536452417920347	honda	5	0.8231211
jaguar	4	0.44536452417920347	bmw	3	0.8226989
jaguar	4	0.44536452417920347	bmc	2	0.8215738
jaguar	4	0.44536452417920347	mclaren	3	0.8200568
jaguar	4	0.44536452417920347	porsche	2	0.8162643
jaguar	4	0.44536452417920347	bmw	4	0.8145315
jaguar	4	0.44536452417920347	citroen	3	0.8130753
jaguar	4	0.44536452417920347	triumph	4	0.8113866
